# Count rates per 10s
# Actual current I (set current) (mA):
# 30 (30.1) 37.5 (37.8) 45 (45.3)
# single 0, single 1
71836 117681 86222 128630 149977 236358
73684 118600 85962 129281 154165 242032
76162 119629 83805 128307 158069 246872
72482 111073 82186 121146 164100 252175
71380 104740 74027 116286 163030 248158
71314 103818 80840 119401 161564 241124
71098 103465 83092 121963 151952 227391
70907 105067 84211 124482 145839 206763
71454 105151 87429 129474 134162 198962
71549 106828 90329 141211 127764 190147
73202 109114 92878 145929 123239 182387

