Profil 1             Profil 1             
x       y           x       y           
[m]     [m]         [m]     [m]         
0  -7,7809705e-08            0  -7,8028563e-08            
7,8125e-10  -7,7872426e-08            7,8125e-10  -7,8083277e-08            
1,5625e-09  -7,7929934e-08            1,5625e-09  -7,8145252e-08            
2,34375e-09  -7,7987893e-08            2,34375e-09  -7,8298209e-08            
3,125e-09  -7,8054057e-08            3,125e-09  -7,8358046e-08            
3,90625e-09  -7,8122828e-08            3,90625e-09  -7,8478227e-08            
4,6875e-09  -7,8178185e-08            4,6875e-09  -7,8592391e-08            
5,46875e-09  -7,8257729e-08            5,46875e-09  -7,8725104e-08            
6,25e-09  -7,8341153e-08            6,25e-09  -7,8817804e-08            
7,03125e-09  -7,8436963e-08            7,03125e-09  -7,8943778e-08            
7,8125e-09  -7,8528398e-08            7,8125e-09  -7,8986082e-08            
8,59375e-09  -7,8633109e-08            8,59375e-09  -7,9151695e-08            
9,375e-09  -7,8748873e-08            9,375e-09  -7,9167628e-08            
1,015625e-08  -7,8868738e-08            1,015625e-08  -7,9296394e-08            
1,09375e-08  -7,8995308e-08            1,09375e-08  -7,9566766e-08            
1,171875e-08  -7,9127928e-08            1,171875e-08  -7,9600529e-08            
1,25e-08  -7,9267861e-08            1,25e-08  -8,0064066e-08            
1,328125e-08  -7,9393338e-08            1,328125e-08  -8,029558e-08            
1,40625e-08  -7,9541078e-08            1,40625e-08  -8,0924317e-08            
1,484375e-08  -7,9691752e-08            1,484375e-08  -8,103963e-08            
1,5625e-08  -7,9846578e-08            1,5625e-08  -8,1594043e-08            
1,640625e-08  -7,9999156e-08            1,640625e-08  -8,1664036e-08            
1,71875e-08  -8,0141683e-08            1,71875e-08  -8,1538991e-08            
1,796875e-08  -8,029965e-08            1,796875e-08  -8,140063e-08            
1,875e-08  -8,0459491e-08            1,875e-08  -8,1273854e-08            
1,953125e-08  -8,0619085e-08            1,953125e-08  -8,113901e-08            
2,03125e-08  -8,0778654e-08            2,03125e-08  -8,100193e-08            
2,109375e-08  -8,0937252e-08            2,109375e-08  -8,0862414e-08            
2,1875e-08  -8,1073603e-08            2,1875e-08  -8,0717943e-08            
2,265625e-08  -8,1190666e-08            2,265625e-08  -8,0574847e-08            
2,34375e-08  -8,131416e-08            2,34375e-08  -8,0436544e-08            
2,421875e-08  -8,1398431e-08            2,421875e-08  -8,0301919e-08            
2,5e-08  -8,1333957e-08            2,5e-08  -8,0179761e-08            
2,578125e-08  -8,1285244e-08            2,578125e-08  -8,0041492e-08            
2,65625e-08  -8,1104372e-08            2,65625e-08  -7,9901277e-08            
2,734375e-08  -8,0961076e-08            2,734375e-08  -7,9773389e-08            
2,8125e-08  -8,0727974e-08            2,8125e-08  -7,9645624e-08            
2,890625e-08  -8,0614959e-08            2,890625e-08  -7,9511166e-08            
2,96875e-08  -8,0403532e-08            2,96875e-08  -7,9371207e-08            
3,046875e-08  -8,0325993e-08            3,046875e-08  -7,9237459e-08            
3,125e-08  -8,0140761e-08            3,125e-08  -7,9109376e-08            
3,203125e-08  -8,0027855e-08            3,203125e-08  -7,8970673e-08            
3,28125e-08  -7,9867067e-08            3,28125e-08  -7,8825953e-08            
3,359375e-08  -7,975822e-08            3,359375e-08  -7,8691093e-08            
3,4375e-08  -7,9660047e-08            3,4375e-08  -7,8547585e-08            
3,515625e-08  -7,9477292e-08            3,515625e-08  -7,8400908e-08            
3,59375e-08  -7,9375276e-08            3,59375e-08  -7,8257524e-08            
3,671875e-08  -7,9224477e-08            3,671875e-08  -7,8125863e-08            
3,75e-08  -7,912946e-08            3,75e-08  -7,7985729e-08            
3,828125e-08  -7,8939792e-08            3,828125e-08  -7,7843953e-08            
3,90625e-08  -7,8835766e-08            3,90625e-08  -7,7703707e-08            
3,984375e-08  -7,8654471e-08            3,984375e-08  -7,7568437e-08            
4,0625e-08  -7,8543054e-08            4,0625e-08  -7,7436304e-08            
4,140625e-08  -7,8332145e-08            4,140625e-08  -7,7311624e-08            
4,21875e-08  -7,8220007e-08            4,21875e-08  -7,7199265e-08            
4,296875e-08  -7,8015684e-08            4,296875e-08  -7,7080166e-08            
4,375e-08  -7,7919268e-08            4,375e-08  -7,697529e-08            
4,453125e-08  -7,7718249e-08            4,453125e-08  -7,6866943e-08            
4,53125e-08  -7,7632005e-08            4,53125e-08  -7,6776752e-08            
4,609375e-08  -7,7428085e-08            4,609375e-08  -7,6701107e-08            
4,6875e-08  -7,736356e-08            4,6875e-08  -7,6615074e-08            
4,765625e-08  -7,7160921e-08            4,765625e-08  -7,6539163e-08            
4,84375e-08  -7,7106097e-08            4,84375e-08  -7,6463383e-08            
4,921875e-08  -7,6966114e-08            4,921875e-08  -7,6392267e-08            
5e-08  -7,6899094e-08            5e-08  -7,631931e-08            
5,078125e-08  -7,6776922e-08            5,078125e-08  -7,6271065e-08            
5,15625e-08  -7,6706078e-08            5,15625e-08  -7,622656e-08            
5,234375e-08  -7,6615659e-08            5,234375e-08  -7,6168978e-08            
5,3125e-08  -7,6535949e-08            5,3125e-08  -7,6133466e-08            
