# Counting time: 10s
# Oscilloscope average: 128
# Oscilloscope binning: 1mV
# Error due to fluctuations: 2mV 
# Voltage (V) Counts (N) Height (mV)
700 1 30
750 41 85
800 214 100
850 669 118
900 1110 133
950 1650 142
1000 2148 154
1050 2724 156
1100 2948 164
1150 3258 167
1200 3332 170
1250 3472 171
1300 3588 171
1350 3519 171
1400 3644 171
1450 3562 171
1500 3650 170
1550 3976 170
1600 5159 170
1650 9056 169
1670 10516 150
1680 139993 120
1700 232587 155
1750 361564 181
1800 459575 177
1850 425075 189
1900 484370 188
1950 535765 179
2000 479716 190
